leisure 여가,레저
privacy 사생활
dufy 의무,직무,세금
poverty 가난,빈곤
policy 정책,방침,보험_증권
improvement 개선,향상
expectation 기대,예상
fantasy 공상,환상,공상_소설,공상_영화
destruction 파괴
comfort 편안함,위로,위로하다
conflict 갈등,대립,분쟁,대립하다,충돌하다
regard 여기다,간주하다,존경,고려,관계,안부_인사
swing 흔들다,흔들리다,그네,흔들림
manufacture 제조하다,제조
misunderstand 오해하다
attach 붙이다,첨부하다
select 선택하다,선발하다,선정하다
amaze 크게_놀라게_하다
discourage 좌절시키다,막다,단념시키다
bless 축복하다
admit 인정하다,시인하다,입장을_허락하다,입학을_허락하다
routine 일상적인_일,일상,일상의
former 이전의,전_~,전자
formal 정식의,공식의
reasonable 합리적인,타당한,적당한
legal 합법의,법률의
tremendous 엄청난,굉장한
depressed 우울한,의기소침한
high-tech 첨단_과학_기술의
accordingly 따라서
